StateName,DistrictName,BlockName,Season,Sector,Category,Crop,QueryType,QueryText,KccAns,CreatedOn,year,month
TELANGANA,MAHABUBABAD,PEDDAVADUGUR,NA,AGRICULTURE,Others,Others,Government Schemes,FARMER ASKED QUERY ABOUT FARMER ID REGISTRATION GENERAL INFORMATION,-- దయచేసి  మీ  మండల వ్యవసాయ అధికారిని సంప్రదించండి .  ,2025-06-08T07:45:02.85,2025,6
TELANGANA,MAHABUBABAD,GUDUR,NA,AGRICULTURE,Fiber Crops,Cotton (Kapas),Seeds,QUERY ON COTTON SEEDS FOR SOWING IN KHARIF SEASON,"COTTON VARIETIES-ADB-39, CO-17,ADB-542, NARSIMHA (N.A. 1325), SHIVANANDI, SRI RAMA (N.D.L.H. 1938), ORUGALLU KRISHNA (W.G.H.H. 2)",2025-06-08T09:34:06.837,2025,6
TELANGANA,MAHABUBABAD,KESAMUDRAM,NA,AGRICULTURE,Fiber Crops,Cotton (Kapas),Weather,Farmer asked query on Weather,"CLOUDY WEATHER, THERE IS A CHANCE OF  SHOWERS IN YOUR AREA  
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం ఉంది.",2025-06-09T12:13:17.23,2025,6
TELANGANA,MAHABUBABAD,MAHBUBABAD,NA,AGRICULTURE,Fiber Crops,Cotton (Kapas),Weather,Farmer asked query on Weather,"CLOUDY WEATHER, THERE IS A CHANCE OF  SHOWERS IN YOUR AREA  
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం ఉంది. 
",2025-06-09T16:55:44.76,2025,6
TELANGANA,MAHABUBABAD,THORRUR,NA,AGRICULTURE,Cereals,Paddy (Dhan),Seeds,PADDY SEED VARIETIES ,"DRR-DHAN-56,60 CONTCT IIRR , HYDERABAD",2025-06-10T09:41:35.273,2025,6
TELANGANA,MAHABUBABAD,MARIPEDA,NA,AGRICULTURE,Cereals,Paddy (Dhan),Varieties,Varietal characters of KNM-1638 paddy variety,"KNM-1638 is having 120 to 125 days duration, it will give 30 to 35 quintals of yield per acre and this variety is resistant to gall midge, leaf blast and neck blast.
KNM-1638 120 నుండి 125 రోజుల వ్యవధి కలిగి ఉంది, ఇది ఎకరానికి 30 నుండి 35 క్వింటాళ్ల దిగుబడిని ఇస్తుంది మరియు ఈ రకం వల్లికోడు, అగ్గితెగులు మరియు మెడవిరుపులకు నిరోధకతను కలిగి ఉంటుంది.",2025-06-10T18:49:49.667,2025,6
TELANGANA,MAHABUBABAD,MARIPEDA,NA,AGRICULTURE,Fiber Crops,Cotton (Kapas),Weather,Farmer asked query on Weather,మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.వర్షం  పడే అవకాశం ఉంది.,2025-06-11T13:47:32.29,2025,6
TELANGANA,MAHABUBABAD,KURAVI,NA,AGRICULTURE,Fiber Crops,Cotton (Kapas),Weather,Farmer asked query on Weather,"
CLOUDY WEATHER, THERE IS A CHANCE OF  SHOWERS IN YOUR AREA  
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.వర్షం  పడే అవకాశం ఉంది.",2025-06-11T17:55:26.77,2025,6
TELANGANA,MAHABUBABAD,KURAVI,NA,AGRICULTURE,Others,Others,Government Schemes,FARMER ASKED PM KISAN BENEFICIARY STATUS ,PLEASE KEEP RESPECTIVE  MOBILE AT YOU AND CALL BACK ,2025-06-11T18:31:53.97,2025,6
TELANGANA,MAHABUBABAD,BAYYARAM,NA,AGRICULTURE,Cereals,Paddy (Dhan),Seeds,QUERY ON PADDY SEED PADDY 1222 AVAIALABILITY,"RICE RESEARCH INSTITUTE, RAJENDRANAGAR, HYDERABAD  - 7337399470",2025-06-12T09:42:02.633,2025,6
TELANGANA,MAHABUBABAD,BAYYARAM,NA,AGRICULTURE,Millets,Maize (Makka),Varieties,QUERY ON MAIZE VARIETIES,"VARIETIES OF MAIZE CROP-కరీంనగర్ మక్క, కరీంనగర్ మక్క 1,డి.హెచ్.యం. 121డి.హెచ్.యం. 119డి.హెచ్.యం. 117",2025-06-12T09:42:27.89,2025,6
TELANGANA,MAHABUBABAD,NALLIKUDUR,NA,AGRICULTURE,Cereals,Paddy (Dhan),Varieties,QUERY ON PADDY VARIETIES TOLERANT TO YELLOW STEM BORER,"PADDY VARIETIES TOLERANT TO YELLOW STEM BORER ARE KRISHNA (RNR 2548), THELLA HAMSA, SHOBIMI (RNR 2354)",2025-06-13T08:55:52.943,2025,6
TELANGANA,MAHABUBABAD,MAHBUBABAD,NA,AGRICULTURE,Cereals,Paddy (Dhan),Varieties,paddy varieties ;-,"సన్న గింజ రకాలు - BPT-5204, తెలంగాణ సోన(ఆర్.ఎన్.ఆర్ 15048), జగిత్యాల సన్నాలు (జె.జి.ఎల్ 1798), జగిత్యాల సాంబ (జె.జి.ఎల్ 3844), అంజన (జె.జి.ఎల్ 11118),knm-7715,knm-1638,knm-12368,knm-12510,knm-12472,wgl-1380,bpt-3082,
నెల్లూరి మషూరి (ఎన్.ఎల్.ఆర్ 34449)",2025-06-13T16:35:18.11,2025,6
TELANGANA,MAHABUBABAD,MAHBUBABAD,NA,HORTICULTURE,Vegetables,Chillies,Weather,Farmer asked query on Weather,"మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం ఉంది.
",2025-06-14T08:58:07.397,2025,6
TELANGANA,MAHABUBABAD,KURAVI,NA,AGRICULTURE,Pulses,Green Gram (Moong Bean/ Moong),	Water Management	,Farmer asked query on Weather,"WEATHER REPORT:
మీ ప్రాంతములో వాతావరణం  ఎండ,మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం ఉంది.
",2025-06-14T10:03:54.71,2025,6
TELANGANA,MAHABUBABAD,PEDDAVADUGUR,NA,AGRICULTURE,Pulses,Pigeon pea (red gram/arhar/tur),Varieties,Yield of TDRG-4 and TDRG-59 red gram varieties,"Yield of TDRG-4 and TDRG-59 red gram varieties is in between 8 to 10 quintals
TDRG-4 మరియు TDRG-59 కంది రకాల దిగుబడి 8 నుండి 10 క్వింటాళ్ల మధ్య ఉంటుంది.",2025-06-17T15:19:27.143,2025,6
TELANGANA,MAHABUBABAD,PEDDAVADUGUR,NA,AGRICULTURE,Pulses,Pigeon pea (red gram/arhar/tur),Varieties,"
FARMER ASKED QUERY ON TDRG-59 VARITY INFORMATION","TDRG 59, తెలంగాణ కండి 3 అని కూడా పిలుస్తారు, ఇది అధిక దిగుబడినిచ్చే కంది రకం, దీనిని తాండూరులోని వ్యవసాయ పరిశోధనా కేంద్రం అభివృద్ధి చేసి, 2021లో సెంట్రల్ వెరైటీ రిలీజ్ కమిటీ విడుదల చేసింది. ఇది భారతదేశంలోని దక్షిణ మండలంలో సాగు కోసం ప్రత్యేకంగా గుర్తించబడింది. ఈ రకం మధ్యస్థ వ్యవధి (ఖరీఫ్‌లో 165-180 రోజులు, రబీలో 125-130 రోజులు), ఫ్యూసేరియం విల్ట్ మరియు స్టెరిలిటీ మొజాయిక్ వ్యాధికి మితమైన నిరోధకత మరియు అధిక విత్తన దిగుబడికి ప్రసిద్ధి చెందింది.
రెడ్‌సోయిల్స్‌కు అనుకూలం",2025-06-17T15:34:54.077,2025,6
TELANGANA,MAHABUBABAD,MARIPEDA,NA,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Water Management	,Farmer asked query on Weather,"మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం కలదు. 
",2025-06-17T16:18:47.563,2025,6
TELANGANA,MAHABUBABAD,THORRUR,NA,HORTICULTURE,Condiments and Spices,Turmeric,Seeds and Planting Material,Can we cultivate lakadong variety of turmeric in Telangana state,"Advised farmer that we can cultivate the Lakadong variety of turmeric in Telangana, but we have to create controlled environment of 20 to 30 degrees C and a irrigation interval should be a week or 6 days. So advised farmer to cultivate this variety in green house
తెలంగాణలో లకాడాంగ్ రకం పసుపును పండించవచ్చని రైతుకు సలహా ఇచ్చారు, కానీ 20 నుండి 30 డిగ్రీల సెల్సియస్ నియంత్రిత వాతావరణాన్ని సృష్టించాలి మరియు నీటిపారుదల విరామం వారం లేదా 6 రోజులు ఉండాలి. కాబట్టి రైతు ఈ రకాన్ని గ్రీన్ హౌస్‌లో పండించాలని సలహా ఇచ్చారు.",2025-06-17T18:53:08.547,2025,6
TELANGANA,MAHABUBABAD,MARIPEDA,NA,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Water Management	,Farmer asked query on Weather,"మీ ప్రాంతంలో వాతావరణం ఎండ ,మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం ఉంది. ",2025-06-18T06:53:13.023,2025,6
TELANGANA,MAHABUBABAD,MAHBUBABAD,NA,AGRICULTURE,Others,Others,Government Schemes, WAHT IS THE  AMOUNT OF RYTHU BAROSA SCHEME IN TELANGANA?,"Under the Telangana Rythu Bharosa Scheme, eligible farmers receive Rs. 6,000 per acre per season, amounting to Rs. 12,000 per acre annually for both the Rabi and Kharif crop seasons",2025-06-18T09:09:41.36,2025,6
TELANGANA,MAHABUBABAD,KESAMUDRAM,NA,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Water Management	,Farmer asked query on Weather,"మీ ప్రాంతంలో వాతావరణం ఎండ ,మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం ఉంది. 
",2025-06-18T11:22:13.093,2025,6
TELANGANA,MAHABUBABAD,MARIPEDA,NA,AGRICULTURE,Fiber Crops,Cotton (Kapas),Weather,Farmer asked query on Weather,"THERE IS CHANCE OF CLOUDY WEATHER IN YOUR AREA
మీ ప్రాంతంలో వాతావరణం మబ్బు లుగా ఉంటుంది ",2025-06-20T11:27:48.547,2025,6
TELANGANA,MAHABUBABAD,KURAVI,NA,AGRICULTURE,Cereals,Paddy (Dhan),Varieties,FARMER ASKED FINE GRAIN PADDY VARIETIES RECENTLY RELEASESD,"RNR-15048, RNR-31479",2025-06-20T12:05:23.233,2025,6
TELANGANA,MAHABUBABAD,MAHBUBABAD,NA,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Water Management	,Weather report for water management in cotton,"There is a chance of light rains in your area
మీ ప్రాంతంలో తేలికపాటి వర్షాలు పడే అవకాశం ఉంది
",2025-06-21T11:12:31,2025,6
TELANGANA,MAHABUBABAD,THORRUR,NA,AGRICULTURE,Others,Others,Government Schemes,farmer asked pm kisan beneficiary status,Aadhaar number de-seeded from NPCI mapper by bank - customer to contact his/her bank,2025-06-21T15:33:21.837,2025,6
TELANGANA,MAHABUBABAD,MARIPEDA,NA,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Water Management	,Farmer asked query on Weather,"CLOUDY WEATHER, THERE IS A CHANCE OF  SHOWERS IN YOUR AREA  
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం ఉంది.
",2025-06-21T19:39:23.407,2025,6
TELANGANA,MAHABUBABAD,MAHBUBABAD,NA,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,"మీ ప్రాంతములో వాతావరణం ఏండ, మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం ఉంది.
",2025-06-22T07:49:55.103,2025,6
TELANGANA,MAHABUBABAD,MAHBUBABAD,NA,AGRICULTURE,Fiber Crops,Cotton (Kapas),Sowing Time and Weather,Farmer asked query on Weather,"CLOUDY WEATHER, NO CHANCE OF SHOWERS IN YOUR AREA మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.వర్షం  పడే అవకాశం లేదు.",2025-06-22T09:47:16.087,2025,6
TELANGANA,MAHABUBABAD,MAHBUBABAD,NA,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Water Management	,Farmer asked query on Weather,"మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం ఉంది.
",2025-06-22T16:55:41.17,2025,6
TELANGANA,MAHABUBABAD,MAHBUBABAD,NA,AGRICULTURE,Fiber Crops,Cotton (Kapas),Sowing Time and Weather,Farmer asked query on Weather,"మీ ప్రాంతములో వాతావరణం  ఎండ,మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం ఉంది.
",2025-06-23T07:51:51.96,2025,6
TELANGANA,MAHABUBABAD,KESAMUDRAM,NA,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Water Management	,Farmer asked query on Weather,"సర్/మేడమ్, కెసుముద్రమ్, మహాబుబాద్ జిల్లాకు సగటు వాతావరణ సూచన, తెలంగాణలో 1.0 మిమీ వర్షపాతం, గరిష్ట ఉష్ణోగ్రత 37.2 ° C, కనిష్ట ఉష్ణోగ్రత 29.8 ° C, గాలి వేగం 17.6 కిమీ/గం/గంటకు, మరియు మేఘావృత ఆకాశం చూపిస్తుంది.",2025-06-23T16:41:13.387,2025,6
TELANGANA,MAHABUBABAD,MAHBUBABAD,NA,AGRICULTURE,Fiber Crops,Cotton (Kapas),Weather,Farmer asked query on Weather,"CLOUDY WEATHER, THERE IS A CHANCE OF  SHOWERS IN YOUR AREA  
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.వర్షం  పడే అవకాశం ఉంది.",2025-06-23T16:49:36.47,2025,6
TELANGANA,MAHABUBABAD,MAHBUBABAD,NA,AGRICULTURE,Fiber Crops,Cotton (Kapas),Sowing Time and Weather,FARMER ASKED QUERY ON WEATHER REPORT ,మీ ప్రాంతంలో వాతావరణం మబ్బులుగా ఉంటుంది . తేలికపాటి జల్లులు నుండి వర్షం పడే అవకాశం ఉంది. ,2025-06-23T18:40:56.18,2025,6
TELANGANA,MAHABUBABAD,MARIPEDA,NA,AGRICULTURE,Fiber Crops,Cotton (Kapas),Weather,Farmer asked query on Weather,"మీ ప్రాంతంలో వాతావరణం ఎండ ,మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం ఉంది. 
",2025-06-24T06:40:26.48,2025,6
TELANGANA,MAHABUBABAD,MAHBUBABAD,NA,AGRICULTURE,Others,Others,	Water Management	,Farmer asked query on Weather,"THERE IS CHANCE OF CLOUDY WEATHER IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.(తుంపర )
",2025-06-24T13:32:47.807,2025,6
TELANGANA,MAHABUBABAD,MAHBUBABAD,NA,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Water Management	,Farmer asked query on Weather,"CLOUDY WEATHER, THERE IS A CHANCE OF  SHOWERS IN YOUR AREA  
 మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.వర్షం  పడే అవకాశం ఉంది.
",2025-06-24T13:34:23.063,2025,6
TELANGANA,MAHABUBABAD,MAHBUBABAD,NA,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Water Management	,Farmer asked query on Weather,మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం ఉంది.,2025-06-24T18:51:37.34,2025,6
TELANGANA,MAHABUBABAD,MAHBUBABAD,NA,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Water Management	,Farmer asked query on Weather,"CLOUDY WEATHER, THERE IS A CHANCE OF  SHOWERS IN YOUR AREA  
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం ఉంది.
",2025-06-25T12:38:25.157,2025,6
TELANGANA,MAHABUBABAD,MAHBUBABAD,NA,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Water Management	,Farmer asked query on Weather,"CLOUDY WEATHER, THERE IS A CHANCE OF SHOWERS IN YOUR AREA  
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.తుంపర లేదా జల్లులు పడే అవకాశం ఉంది.
",2025-06-25T12:42:43.24,2025,6
TELANGANA,MAHABUBABAD,MAHBUBABAD,NA,AGRICULTURE,Fiber Crops,Cotton (Kapas),Weather,Farmer asked query on Weather,"THERE IS CHANCE OF CLOUDY WEATHER IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం ఉంది.",2025-06-25T13:25:57.3,2025,6
TELANGANA,MAHABUBABAD,MAHBUBABAD,NA,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Water Management	,Farmer asked query on Weather,మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.వర్షం  పడే అవకాశం ఉంది.,2025-06-26T09:04:11.38,2025,6
TELANGANA,MAHABUBABAD,KESAMUDRAM,NA,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Water Management	,Farmer asked query on Weather,"మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం కలదు. 
",2025-06-26T17:12:10.837,2025,6
TELANGANA,MAHABUBABAD,MAHBUBABAD,NA,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Water Management	,Farmer asked query on Weather,"మీ ప్రాంతంలో వాతావరణం ఎండ ,మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం ఉంది. 

",2025-06-26T18:48:31.737,2025,6
TELANGANA,MAHABUBABAD,KESAMUDRAM,NA,AGRICULTURE,Fiber Crops,Cotton (Kapas),Weed Management,WHEN TO DO  WEED MANAGEMENT IN COTTON," PRE EMERGENCY SYAGE AT 24-48 HOURS CROP 
AND AT 15-20 DAYS CROP AS POST  EMERGENCY I.E 2-3 LEAF STAGE ",2025-06-27T10:33:59.473,2025,6
TELANGANA,MAHABUBABAD,CHINNAKODUR,NA,AGRICULTURE,Fiber Crops,Cotton (Kapas),Weather,Farmer asked query on Weather,"DRY AND CLOUDY WEATHER, THERE IS A CHANCE OF SHOWERS IN YOUR ARE
మీ ప్రాంతంలో వాతావరణం ఎండా, మబ్బులుగా వుంది.జల్లులు పడే అవకాశం ఉంది.",2025-06-27T11:26:48.967,2025,6
TELANGANA,MAHABUBABAD,MARIPEDA,NA,AGRICULTURE,Fiber Crops,Cotton (Kapas),Weather,Farmer asked query on Weather,"మీ ప్రాంతంలో వాతావరణం ఎండ ,మబ్బులుగా ఉంటుంది. తుంపర్లు పడే అవకాశం ఉంది",2025-06-28T14:06:31.5,2025,6
TELANGANA,MAHABUBABAD,MAHBUBABAD,NA,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Water Management	,Farmer asked query on Weather,"మీ ప్రాంతంలో వాతావరణం మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం ఉంది. 

",2025-06-28T15:46:28.613,2025,6
TELANGANA,MAHABUBABAD,MARIPEDA,NA,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Water Management	,Farmer asked query on Weather,"CLOUDY WEATHER, THERE IS A CHANCE OF  SHOWERS IN YOUR AREA  
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం ఉంది.
",2025-06-28T16:56:35.033,2025,6
TELANGANA,MAHABUBABAD,KURAVI,NA,AGRICULTURE,Fiber Crops,Cotton (Kapas),Weather,Farmer asked query on Weather,"మీ ప్రాంతం లో ఈ రోజు వాతావరణం ,మబ్బులుగా ఉంటుంది జల్లులు  పడే అవకాశం ఉంది.
",2025-06-28T19:26:06.757,2025,6
TELANGANA,MAHABUBABAD,KESAMUDRAM,NA,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Water Management	,Farmer asked query on Weather,మీ  ప్రాంతం లో ఈ రోజు  వర్షం పడే  అవకాశం కలదు.  ,2025-06-29T11:42:03.983,2025,6
TELANGANA,MAHABUBABAD,MAHBUBABAD,NA,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Water Management	,Weather report for water management in cotton,"There is a chance of light rains in your area
మీ ప్రాంతంలో తేలికపాటి వర్షాలు పడే అవకాశం ఉంది
",2025-06-29T11:50:12.557,2025,6
TELANGANA,MAHABUBABAD,MAHBUBABAD,NA,AGRICULTURE,Fiber Crops,Cotton (Kapas),Weather,Farmer asked query on Weather,మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం ఉంది.,2025-06-29T12:02:33.72,2025,6
TELANGANA,MAHABUBABAD,MARIPEDA,NA,AGRICULTURE,Cereals,Paddy (Dhan),Sowing Time and Weather,FARMER AKE QUERY ON SOWING TIME OF SAMBA SAMURI VARIETY OF PADDY ,"TIME FOR SOWING OF PADDY CROP IN NURSERY 
పంట కాలాలు:వర్షాకాలం: జూన్ - డిసెంబర్

యాసంగి: నవంబర్- ఎప్రిల్",2025-06-29T12:43:07.6,2025,6
TELANGANA,MAHABUBABAD,MAHBUBABAD,NA,AGRICULTURE,Pulses,Pigeon pea (red gram/arhar/tur),Seeds,FARMER ASKED QUERY ON SEED TREATMENT IN REDGRAM ,"RECON=MMENDED TO TREAT THE REDGRAM SEEDS:
Seed treatment with   talc formulation of T. viride @ 4g or P. fluorescens @ 10 g/kg  Carbendazim or Thiram @ 2 g/kg
రెడ్‌గ్రామ్ విత్తనాల చికిత్సకు సిఫార్సు చేయబడింది:
టాల్క్ ఫార్ములేషన్ T. విరైడ్ @ 4 గ్రా లేదా P. ఫ్లోరోసెన్స్ @ 10 గ్రా/కిలో కార్బెండజిమ్ లేదా థిరామ్ @ 2 గ్రా/కిలోతో విత్తన చికిత్స.",2025-06-29T13:31:35.193,2025,6
TELANGANA,MAHABUBABAD,MAHBUBABAD,NA,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Water Management	,Farmer asked query on Weather,"CLOUDY WEATHER, THERE IS A CHANCE OF  SHOWERS IN YOUR AREA  
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.వర్షం  పడే అవకాశం ఉంది.
",2025-06-29T14:17:51.983,2025,6
TELANGANA,MAHABUBABAD,MAHBUBABAD,NA,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Water Management	,Farmer asked query on Weather," మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది. వర్షం  పడే అవకాశం   లేదు.
",2025-06-29T14:24:14.837,2025,6
TELANGANA,MAHABUBABAD,MAHBUBABAD,NA,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Water Management	,Farmer asked query on Weather,"CLOUDY WEATHER, THERE IS A CHANCE OF  SHOWERS IN YOUR AREA  
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.వర్షం  పడే అవకాశం ఉంది.
",2025-06-29T15:00:42.963,2025,6
TELANGANA,MAHABUBABAD,MAHBUBABAD,NA,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Water Management	,"FARMER ASKED QUERY ON WEATHER REPORT 


","CLOUDY WEATHER, THERE IS A CHANCE OF SHOWERS IN YOUR AREA  
మీ ప్రాంతంలో వాతావరణం మబ్బులుగా ఉంటుంది. జల్లులు పడే అవకాశం ఉంది.",2025-06-29T15:52:59.983,2025,6
